degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,split,rollout_horizon_months,source_id,target_event,alert_policy,score_column,threshold,score_recomputed,rows,control_rows,rows_retained_rate,positive_rows,positive_rate,predicted_positive_rows,alert_rate,tn,fp,fn,tp,precision,recall,specificity,f1,f2,mcc,balanced_accuracy,pr_auc,roc_auc,brier,delta_positive_rate_vs_control,delta_alert_rate_vs_control,delta_precision_vs_control,delta_recall_vs_control,delta_specificity_vs_control,delta_f1_vs_control,delta_f2_vs_control,delta_mcc_vs_control,delta_balanced_accuracy_vs_control,delta_pr_auc_vs_control,delta_roc_auc_vs_control,delta_brier_vs_control
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,all,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.1956521739130435,True,400,400,1.0,68,0.17,36,0.09,311,21,53,15,0.4166666666666667,0.22058823529411764,0.9367469879518072,0.28846153846153844,0.24350649350649353,0.20651305753179344,0.5786676116229624,0.29181869584267406,0.6770464209780298,0.14903576637658902,0.0,-0.14,0.03623188405797101,-0.2941176470588235,0.10843373493975905,-0.14903846153846156,-0.23726273726273725,-0.09966395005617851,-0.09284195605953227,-0.06559178719198644,-0.0723113040396881,0.018011172196158276
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,all,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1333333333333333,True,400,400,1.0,68,0.17,57,0.1425,295,37,48,20,0.3508771929824561,0.29411764705882354,0.8885542168674698,0.32,0.30395136778115506,0.1962956477415815,0.5913359319631467,0.29181869584267406,0.6770464209780298,0.14903576637658902,0.0,-0.18750000000000003,0.017543859649122806,-0.35294117647058826,0.1536144578313252,-0.12,-0.24060308766438943,-0.10886665754157868,-0.09966335931963155,-0.06559178719198644,-0.0723113040396881,0.018011172196158276
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,all,irc_alert,closest_pr,alert_probability_irc,0.4921875,True,512,512,1.0,260,0.5078125,136,0.265625,240,12,136,124,0.9117647058823529,0.47692307692307695,0.9523809523809523,0.6262626262626263,0.5272108843537415,0.48594658266151186,0.7146520146520147,0.700466628959276,0.7146520146520147,0.2890625,0.0,-0.236328125,0.09464408331425955,-0.33076923076923076,0.13888888888888884,-0.1861164839888244,-0.28234963993307416,-0.13516669446011614,-0.09594017094017093,-0.05717166234572246,-0.09594017094017093,0.099609375
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,all,irc_alert,fbeta,alert_probability_irc,0.15625,True,512,512,1.0,260,0.5078125,136,0.265625,240,12,136,124,0.9117647058823529,0.47692307692307695,0.9523809523809523,0.6262626262626263,0.5272108843537415,0.48594658266151186,0.7146520146520147,0.700466628959276,0.7146520146520147,0.2890625,0.0,-0.236328125,0.09464408331425955,-0.33076923076923076,0.13888888888888884,-0.1861164839888244,-0.28234963993307416,-0.13516669446011614,-0.09594017094017093,-0.05717166234572246,-0.09594017094017093,0.099609375
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,all,irc_alert,fixed,alert_probability_irc,0.5,True,512,512,1.0,260,0.5078125,136,0.265625,240,12,136,124,0.9117647058823529,0.47692307692307695,0.9523809523809523,0.6262626262626263,0.5272108843537415,0.48594658266151186,0.7146520146520147,0.700466628959276,0.7146520146520147,0.2890625,0.0,-0.236328125,0.09464408331425955,-0.33076923076923076,0.13888888888888884,-0.1861164839888244,-0.28234963993307416,-0.13516669446011614,-0.09594017094017093,-0.05717166234572246,-0.09594017094017093,0.099609375
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,wqp,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.1956521739130435,True,400,400,1.0,68,0.17,36,0.09,311,21,53,15,0.4166666666666667,0.22058823529411764,0.9367469879518072,0.28846153846153844,0.24350649350649353,0.20651305753179344,0.5786676116229624,0.29181869584267406,0.6770464209780298,0.14903576637658902,0.0,-0.14,0.03623188405797101,-0.2941176470588235,0.10843373493975905,-0.14903846153846156,-0.23726273726273725,-0.09966395005617851,-0.09284195605953227,-0.06559178719198644,-0.0723113040396881,0.018011172196158276
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,wqp,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1333333333333333,True,400,400,1.0,68,0.17,57,0.1425,295,37,48,20,0.3508771929824561,0.29411764705882354,0.8885542168674698,0.32,0.30395136778115506,0.1962956477415815,0.5913359319631467,0.29181869584267406,0.6770464209780298,0.14903576637658902,0.0,-0.18750000000000003,0.017543859649122806,-0.35294117647058826,0.1536144578313252,-0.12,-0.24060308766438943,-0.10886665754157868,-0.09966335931963155,-0.06559178719198644,-0.0723113040396881,0.018011172196158276
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,wqp,irc_alert,closest_pr,alert_probability_irc,0.4921875,True,512,512,1.0,260,0.5078125,136,0.265625,240,12,136,124,0.9117647058823529,0.47692307692307695,0.9523809523809523,0.6262626262626263,0.5272108843537415,0.48594658266151186,0.7146520146520147,0.700466628959276,0.7146520146520147,0.2890625,0.0,-0.236328125,0.09464408331425955,-0.33076923076923076,0.13888888888888884,-0.1861164839888244,-0.28234963993307416,-0.13516669446011614,-0.09594017094017093,-0.05717166234572246,-0.09594017094017093,0.099609375
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,wqp,irc_alert,fbeta,alert_probability_irc,0.15625,True,512,512,1.0,260,0.5078125,136,0.265625,240,12,136,124,0.9117647058823529,0.47692307692307695,0.9523809523809523,0.6262626262626263,0.5272108843537415,0.48594658266151186,0.7146520146520147,0.700466628959276,0.7146520146520147,0.2890625,0.0,-0.236328125,0.09464408331425955,-0.33076923076923076,0.13888888888888884,-0.1861164839888244,-0.28234963993307416,-0.13516669446011614,-0.09594017094017093,-0.05717166234572246,-0.09594017094017093,0.099609375
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,test,1,wqp,irc_alert,fixed,alert_probability_irc,0.5,True,512,512,1.0,260,0.5078125,136,0.265625,240,12,136,124,0.9117647058823529,0.47692307692307695,0.9523809523809523,0.6262626262626263,0.5272108843537415,0.48594658266151186,0.7146520146520147,0.700466628959276,0.7146520146520147,0.2890625,0.0,-0.236328125,0.09464408331425955,-0.33076923076923076,0.13888888888888884,-0.1861164839888244,-0.28234963993307416,-0.13516669446011614,-0.09594017094017093,-0.05717166234572246,-0.09594017094017093,0.099609375
