reference,evaluation_cohort,evaluation_role,model_id,model_seed,seed_slot,horizon_months,attempted_row_count,ordinal_success_row_count,reference_available_row_count,evaluation_row_count,site_count,status,input_ineligible_row_count,target_unavailable_row_count,model_unavailable_row_count,numerical_failure_row_count,infrastructure_failure_row_count,not_applicable_row_count,rows,macro_f1,quadratic_weighted_kappa,ordinal_mae,severe_error_rate,recall_oligotrophic,recall_mesotrophic,recall_eutrophic,recall_hypereutrophic
future_chla_operational_proxy,location_holdout,test,A0,1729,1729,1,4488,0,827,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,1729,1729,2,4488,0,858,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,1729,1729,3,4488,0,819,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,314159,314159,1,4488,0,827,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,314159,314159,2,4488,0,858,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,314159,314159,3,4488,0,819,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260612,20260612,1,4488,0,827,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260612,20260612,2,4488,0,858,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260612,20260612,3,4488,0,819,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260613,20260613,1,4488,0,827,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260613,20260613,2,4488,0,858,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260613,20260613,3,4488,0,819,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260614,20260614,1,4488,0,827,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260614,20260614,2,4488,0,858,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A0,20260614,20260614,3,4488,0,819,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A1,1729,1729,1,4488,0,827,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
future_chla_operational_proxy,location_holdout,test,A1,1729,1729,2,4488,0,858,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
