split,target,rows,rmse,mae
train,all,50000,0.20822723371942578,0.13264283918009323
train,yN,50000,0.07901957354581363,0.02207478834055946
train,yF,50000,0.16306201946513527,0.09524054023584903
train,yT,50000,0.3853918325406352,0.3127114912328394
train,sigma_N,50000,0.07508574411119479,0.017429149212022002
train,sigma_F,50000,0.08316322313684629,0.04227476228728881
train,sigma_T,50000,0.3692576769995545,0.31480551169623383
train,delta_yN,50000,0.13461292020031096,0.039171196587337774
train,delta_yF,50000,0.267850187864575,0.16420263231096277
train,delta_yT,50000,0.31660192561076633,0.1858754807177461
validation,all,7079,0.2230409379577483,0.14714868155408045
validation,yN,7079,0.12581649920581547,0.07366124217872132
validation,yF,7079,0.1576798924212438,0.10259017613326242
validation,yT,7079,0.36007241525105443,0.2714765327010153
validation,sigma_N,7079,0.14587031419214444,0.05868165947422453
validation,sigma_F,7079,0.08555212498242412,0.04435860657498935
validation,sigma_T,7079,0.3134775269664452,0.250397999991704
validation,delta_yN,7079,0.20978476813216776,0.12698013286772372
validation,delta_yF,7079,0.25977833842938336,0.17569407524665165
validation,delta_yT,7079,0.349336562039056,0.22049770881843184
test,all,7582,0.2236263629038525,0.1512366878244787
test,yN,7582,0.13730567386941472,0.08346063929998372
test,yF,7582,0.14928618198080548,0.09288525936104668
test,yT,7582,0.3781654425463133,0.3065833630144737
test,sigma_N,7582,0.14505142419545847,0.0634413829377775
test,sigma_F,7582,0.07781026128912248,0.03990283965584512
test,sigma_T,7582,0.32978047827016216,0.2705616691708285
test,delta_yN,7582,0.22615674067945235,0.14067150211962665
test,delta_yF,7582,0.24608149195352147,0.15749489580593304
test,delta_yT,7582,0.3229995713504217,0.20612863905479326
